cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
cusbla006_4_27_21.adicht,nonspecific,cus,6.425633106655752,89.41871003791982,0.0,0.0,4.0,16.0,7.6000000000000005,100.0,240.625,0.22857142857142868,16.0,18.900000000000002,-74.5,90.0,6.4,-31.903085037919787
cusbla007_4_27_21.adicht,nonspecific,cus,34.338633035968144,56.579792496967976,16.0,52.0,74.0,12.0,6.7,50.0,,0.9006060606060607,84.0,12.3,-53.5,10.0,5.800000000000001,-32.40957903949355
cusbla008_4_30_21.adicht,nonspecific,cus,8.631584920058465,82.47447394647452,2.0,16.0,24.0,30.0,6.5,60.0,248.4375,0.2860606060606061,30.0,10.8,-52.5,30.0,5.4,-32.06822394647449
cusbla009_4_30_21.adicht,nonspecific,cus,46.58215831439323,73.71027328367421,2.0,6.0,10.0,24.0,5.5,110.0,368.75,0.2153846153846153,28.0,10.4,-56.0,20.0,5.300000000000001,-39.88946294942749
cusbla010_4_30_21.adicht,nonspecific,cus,36.94220063399929,87.03145472350326,4.0,20.0,32.0,50.0,7.2,70.0,585.9375,0.4090909090909089,50.0,12.600000000000001,-63.0,30.0,5.9,-33.95332972350326
cusbla011_4_30_21.adicht,nonspecific,cus,41.05191852881691,72.43614867644845,10.0,20.0,30.0,46.0,5.9,70.0,1515.625,0.3307692307692308,46.0,10.8,-71.0,20.0,5.800000000000001,-28.84630787408912
cusbla012_4_30_21.adicht,nonspecific,cus,37.215972527698646,91.21166062558451,0.0,0.0,6.0,20.0,6.6000000000000005,100.0,357.8125,0.2433333333333332,20.0,10.8,-68.0,70.0,5.9,-30.284027472301382
cusbla013_4_30_21.adicht,nonspecific,cus,37.53424015834029,69.90582609291965,14.0,36.0,50.0,72.0,7.9,60.0,712.5,0.5279720279720279,72.0,13.100000000000001,-52.5,20.0,6.7,-34.09274110126605
cusbla014_4_30_21.adicht,nonspecific,cus,40.764034204374965,67.84050521525862,14.0,28.0,46.0,70.0,6.4,70.0,750.0,0.5097902097902097,70.0,11.4,-63.0,20.0,6.1000000000000005,-31.23142643968298
cusbla015_4_30_21.adicht,nonspecific,cus,42.42619009604894,66.27715187849071,10.0,38.0,54.0,28.0,5.300000000000001,60.0,706.25,0.6309090909090909,72.0,10.700000000000001,-62.0,20.0,4.5,-31.33095502428803
cusbla016_4_30_21.adicht,nonspecific,cus,30.932675215499884,96.61597686024598,12.0,26.0,38.0,50.0,7.0,60.0,471.875,0.36223776223776216,50.0,11.200000000000001,-56.0,20.0,6.1000000000000005,-37.77222686024591
cusbla017_4_30_21.adicht,nonspecific,cus,23.755642597535605,92.52109017860424,0.0,1.9996000799840032,5.9988002399520095,15.996800639872026,7.6000000000000005,100.0,365.625,0.16966303708955185,15.996800639872026,11.4,-68.0,60.0,6.6000000000000005,-32.62469482212163
cusbla018_4_30_21.adicht,nonspecific,cus,17.671444364968337,97.6366972423626,0.0,6.0,16.0,32.0,6.2,90.0,365.625,0.28484848484848485,32.0,12.600000000000001,-59.0,50.0,5.5,-34.66794724236274
cusbla019_4_30_21.adicht,nonspecific,cus,15.701336166283298,92.28924407513423,0.0,6.0,14.0,24.0,7.0,80.0,342.1875,0.2290909090909091,24.0,11.5,-67.0,40.0,6.1000000000000005,-33.453124999999694
cusbla020_5_7_21.adicht,nonspecific,cus,38.07867619237754,76.57261309960039,28.0,50.0,68.0,94.0,5.300000000000001,50.0,715.625,0.634965034965035,94.0,9.9,-58.5,20.0,4.9,-38.173894227412305
cusbla021_5_7_21.adicht,nonspecific,cus,38.0375468343384,73.99155569620575,6.0,14.0,26.0,28.0,9.700000000000001,60.0,890.625,0.31030303030303025,30.0,15.4,-61.0,20.0,8.700000000000001,-27.199608913983628
cusbla022_5_7_21.adicht,nonspecific,cus,3.073457815114523,100.11995924270889,0.0,0.0,20.0,34.0,8.3,80.0,482.03125,0.4571428571428573,34.0,19.900000000000002,-76.5,70.0,6.6000000000000005,-32.91936090130724
cusbla023_5_7_21.adicht,nonspecific,cus,11.729646176065437,97.46874999999969,0.0,2.0,22.0,38.0,8.3,80.0,366.40625,0.41,38.0,14.200000000000001,-71.0,60.0,7.0,-33.84374999999968
